,Chapter,Verse,Sanskrit,Transliteration
310,8,22,"
नैते सृती पार्थ जानन्योगी मुह्यति कश्चन  तस्मात्सर्वेषु कालेषु योगयुक्तो भवार्जुन      
","
naite sṛitī pārtha jānan yogī muhyati kaśhchanatasmāt sarveṣhu kāleṣhu yoga yukto bhavārjuna
"
311,8,23,"
वेदेषु यज्ञेषु तप:सु चैवदानेषु यत्पुण्यफलं प्रदिष्टम्  अत्येति तत्सर्वमिदं विदित्वायोगी परं स्थानमुपैति चाद्यम्      
","
vedeṣhu yajñeṣhu tapaḥsu chaivadāneṣhu yat puṇya phalaṁ pradiṣhṭamatyeti tat sarvam idaṁ viditvāyogī paraṁ sthānam upaiti chādyam
"
312,9,1,"
श्रीभगवानुवाच  इदं तु ते गुह्यतमं प्रवक्ष्याम्यनसूयवे  ज्ञानं विज्ञानसहितं यज्ज्ञात्वा मोक्ष्यसेऽशुभात्      
","
śhrī bhagavān uvāchaidaṁ tu te guhyatamaṁ pravakṣhyāmyanasūyavejñānaṁ vijñāna sahitaṁ yaj jñātvā mokṣhyase ’śhubhāt
"
313,9,2,"
राजविद्या राजगुह्यं पवित्रमिदमुत्तमम्  प्रत्यक्षावगमं धर्म्यं सुसुखं कर्तुमव्ययम्      
","
rāja vidyā rāja guhyaṁ pavitram idam uttamampratyakṣhāvagamaṁ dharmyaṁ su sukhaṁ kartum avyayam
"
314,9,3,"
अश्रद्दधाना: पुरुषा धर्मस्यास्य परन्तप  अप्राप्य मां निवर्तन्ते मृत्युसंसारवर्त्मनि      
","
aśhraddadhānāḥ puruṣhā dharmasyāsya parantapaaprāpya māṁ nivartante mṛityu samsāra vartmani
"
315,9,4,"
मया ततमिदं सर्वं जगदव्यक्तमूर्तिना  मत्स्थानि सर्वभूतानि न चाहं तेष्ववस्थित:      
","
mayā tatam idaṁ sarvaṁ jagad avyakta mūrtināmat sthāni sarva bhūtāni na chāhaṁ teṣhvavasthitaḥ
"
316,9,5,"
न च मत्स्थानि भूतानि पश्य मे योगमैश्वरम्  भूतभृन्न च भूतस्थो ममात्मा भूतभावन:      
","
na cha mat sthāni bhūtāni paśhya me yogam aiśhwarambhūta bhṛin na cha bhūta stho mamātmā bhūta bhāvanaḥ
"
317,9,6,"
यथाकाशस्थितो नित्यं वायु: सर्वत्रगो महान्  तथा सर्वाणि भूतानि मत्स्थानीत्युपधारय      
","
yathākāśha sthito nityaṁ vāyuḥ sarvatra go mahāntathā sarvāṇi bhūtāni mat sthānītyupadhāraya
"
318,9,7,"
सर्वभूतानि कौन्तेय प्रकृतिं यान्ति मामिकाम्  कल्पक्षये पुनस्तानि कल्पादौ विसृजाम्यहम्      प्रकृतिं स्वामवष्टभ्य विसृजामि पुन: पुन:  भूतग्राममिमं कृत्स्नमवशं प्रकृतेर्वशात्      
","
sarva bhūtāni kaunteya prakṛitiṁ yānti māmikāmkalpa kṣhaye punas tāni kalpādau visṛijāmyahamprakṛitiṁ svām avaṣhṭabhya visṛijāmi punaḥ punaḥbhūta grāmam imaṁ kṛitsnam avaśhaṁ prakṛiter vaśhāt
"
319,9,8,"
न च मां तानि कर्माणि निबध्नन्ति धनञ्जय  उदासीनवदासीनमसक्तं तेषु कर्मसु      
","
na cha māṁ tāni karmāṇi nibadhnanti dhanañjayaudāsīna vad āsīnam asaktaṁ teṣhu karmasu
"
320,9,9,"
मयाध्यक्षेण प्रकृति: सूयते सचराचरम्  हेतुनानेन कौन्तेय जगद्विपरिवर्तते      
","
mayādhyakṣheṇa prakṛitiḥ sūyate sa charācharamhetunānena kaunteya jagad viparivartate
"
321,9,10,"
अवजानन्ति मां मूढा मानुषीं तनुमाश्रितम्  परं भावमजानन्तो मम भूतमहेश्वरम्      
","
avajānanti māṁ mūḍhā mānuṣhīṁ tanum āśhritamparaṁ bhāvam ajānanto mama bhūta maheśhvaram
"
322,9,11,"
मोघाशा मोघकर्माणो मोघज्ञाना विचेतस:  राक्षसीमासुरीं चैव प्रकृतिं मोहिनीं श्रिता:      
","
moghāśhā mogha karmāṇo mogha jñānā vichetasaḥrākṣhasīm āsurīṁ chaiva prakṛitiṁ mohinīṁ śhritāḥ
"
323,9,12,"
महात्मानस्तु मां पार्थ दैवीं प्रकृतिमाश्रिता:  भजन्त्यनन्यमनसो ज्ञात्वा भूतादिमव्ययम्      
","
mahātmānas tu māṁ pārtha daivīṁ prakṛitim āśhritāḥbhajantyananya manaso jñātvā bhūtādim avyayam
"
324,9,13,"
सततं कीर्तयन्तो मां यतन्तश्च दृढव्रता:  नमस्यन्तश्च मां भक्त्या नित्ययुक्ता उपासते      
","
satataṁ kīrtayanto māṁ yatantaśh cha dṛiḍha vratāḥnamasyantaśh cha māṁ bhaktyā nitya yuktā upāsate
"
325,9,14,"
ज्ञानयज्ञेन चाप्यन्ये यजन्तो मामुपासते  एकत्वेन पृथक्त्वेन बहुधा विश्वतोमुखम्      
","
jñāna yajñena chāpyanye yajanto mām upāsateekatvena pṛithaktvena bahudhā viśhvato mukham
"
326,9,15,"
अहं क्रतुरहं यज्ञ: स्वधाहमहमौषधम्  मन्त्रोऽहमहमेवाज्यमहमग्निरहं हुतम्      पिताहमस्य जगतो माता धाता पितामह:  वेद्यं पवित्रमोङ्कार ऋक्साम यजुरेव च      
","
ahaṁ kratur ahaṁ yajñaḥ svadhāham aham auṣhadhammantro ’ham aham evājyam aham agnir ahaṁ hutampitāham asya jagato mātā dhātā pitāmahaḥvedyaṁ pavitram oṁkāra ṛik sāma yajur eva cha
"
327,9,16,"
गतिर्भर्ता प्रभु: साक्षी निवास: शरणं सुहृत्  प्रभव: प्रलय: स्थानं निधानं बीजमव्ययम्      
","
gatir bhartā prabhuḥ sākṣhī nivāsaḥ śharaṇaṁ suhṛitprabhavaḥ pralayaḥ sthānaṁ nidhānaṁ bījam avyayam
"
328,9,17,"
तपाम्यहमहं वर्षं निगृह्णम्युत्सृजामि च  अमृतं चैव मृत्युश्च सदसच्चाहमर्जुन      
","
tapāmyaham ahaṁ varṣhaṁ nigṛihṇāmyutsṛijāmi chaamṛitaṁ chaiva mṛityuśh cha sad asach chāham arjuna
"
329,9,18,"
त्रैविद्या मां सोमपा: पूतपापायज्ञैरिष्ट्वा स्वर्गतिं प्रार्थयन्ते  ते पुण्यमासाद्य सुरेन्द्रलोकमश्नन्ति दिव्यान्दिवि देवभोगान्      
","
trai vidyā māṁ soma pāḥ pūta pāpāyajñair iṣhṭvā svar gatiṁ prārthayantete puṇyam āsādya surendra lokamaśhnanti divyān divi deva bhogān
"
330,9,19,"
ते तं भुक्त्वा स्वर्गलोकं विशालंक्षीणे पुण्ये मर्त्यलोकं विशन्ति  एवं त्रयीधर्ममनुप्रपन्नागतागतं कामकामा लभन्ते      
","
te taṁ bhuktvā swarga lokaṁ viśhālaṁkṣhīṇe puṇye martya lokaṁ viśhantievaṁ trayī dharmam anuprapannāgatāgataṁ kāma kāmā labhante
"
331,9,20,"
अनन्याश्चिन्तयन्तो मां ये जना: पर्युपासते  तेषां नित्याभियुक्तानां योगक्षेमं वहाम्यहम्      
","
ananyāśh chintayanto māṁ ye janāḥ paryupāsateteṣhāṁ nityābhiyuktānāṁ yoga kṣhemaṁ vahāmyaham
"
332,9,21,"
येऽप्यन्यदेवता भक्ता यजन्ते श्रद्धयान्विता:  तेऽपि मामेव कौन्तेय यजन्त्यविधिपूर्वकम्      
","
ye ’pyanya devatā bhaktā yajante śhraddhayānvitāḥte ’pi mām eva kaunteya yajantyavidhi pūrvakam
"
333,9,22,"
अहं हि सर्वयज्ञानां भोक्ता च प्रभुरेव च  न तु मामभिजानन्ति तत्त्वेनातश्च्यवन्ति ते      
","
ahaṁ hi sarva yajñānāṁ bhoktā cha prabhureva chana tu mām abhijānanti tattvenātaśh chyavanti te
"
334,9,23,"
यान्ति देवव्रता देवान्पितॄ न्यान्ति पितृव्रता:  भूतानि यान्ति भूतेज्या यान्ति मद्याजिनोऽपि माम्     
","
yānti deva vratā devān pitṝīn yānti pitṛi vratāḥbhūtāni yānti bhūtejyā yānti mad yājino ’pi mām
"
335,9,24,"
पत्रं पुष्पं फलं तोयं यो मे भक्त्या प्रयच्छति  तदहं भक्त्युपहृतमश्नामि प्रयतात्मन:      
","
patraṁ puṣhpaṁ phalaṁ toyaṁ yo me bhaktyā prayachchhatitadahaṁ bhaktyupahṛitam aśhnāmi prayatātmanaḥ
"
336,9,25,"
यत्करोषि यदश्नासि यज्जुहोषि ददासि यत्  यत्तपस्यसि कौन्तेय तत्कुरुष्व मदर्पणम्      
","
yat karoṣhi yad aśhnāsi yaj juhoṣhi dadāsi yatyat tapasyasi kaunteya tat kuruṣhva mad arpaṇam
"
337,9,26,"
शुभाशुभफलैरेवं मोक्ष्यसे कर्मबन्धनै:  संन्यासयोगयुक्तात्मा विमुक्तो मामुपैष्यसि      
","
śhubhāśhubha phalair evaṁ mokṣhyase karma bandhanaiḥsannyāsa yoga yuktātmā vimukto mām upaiṣhyasi
"
338,9,27,"
समोऽहं सर्वभूतेषु न मे द्वेष्योऽस्ति न प्रिय:  ये भजन्ति तु मां भक्त्या मयि ते तेषु चाप्यहम्      
","
samo ’haṁ sarva bhūteṣhu na me dveṣhyo ’sti na priyaḥye bhajanti tu māṁ bhaktyā mayi te teṣhu chāpyaham
"
339,9,28,"
अपि चेत्सुदुराचारो भजते मामनन्यभाक्  साधुरेव स मन्तव्य: सम्यग्व्यवसितो हि स:      
","
api chet su durāchāro bhajate mām ananya bhāksādhur eva sa mantavyaḥ samyag vyavasito hi saḥ
"
340,9,29,"
क्षिप्रं भवति धर्मात्मा शश्वच्छान्तिं निगच्छति  कौन्तेय प्रतिजानीहि न मे भक्त: प्रणश्यति      
","
kṣhipraṁ bhavati dharmātmā śhaśhvach chhāntiṁ nigachchhatikaunteya pratijānīhi na me bhaktaḥ praṇaśhyati
"
341,9,30,"
मां हि पार्थ व्यपाश्रित्य येऽपि स्यु: पापयोनय:  स्त्रियो वैश्यास्तथा शूद्रास्तेऽपि यान्ति परां गतिम्      
","
māṁ hi pārtha vyapāśhritya ye ’pi syuḥ pāpa yonayaḥstriyo vaiśhyās tathā śhūdrās te ’pi yānti parāṁ gatim
"
342,9,31,"
किं पुनर्ब्राह्मणा: पुण्या भक्ता राजर्षयस्तथा  अनित्यमसुखं लोकमिमं प्राप्य भजस्व माम्      
","
kiṁ punar brāhmaṇāḥ puṇyā bhaktā rājarṣhayas tathāanityam asukhaṁ lokam imaṁ prāpya bhajasva mām
"
343,9,32,"
मन्मना भव मद्भक्तो मद्याजी मां नमस्कुरु  मामेवैष्यसि युक्त्वैवमात्मानं मत्परायण:      
","
man manā bhava mad bhakto mad yājī māṁ namaskurumām evaiṣhyasi yuktvaivam ātmānaṁ mat parāyaṇaḥ
"
344,10,1,"
श्रीभगवानुवाच  भूय एव महाबाहो शृणु मे परमं वच:  यत्तेऽहं प्रीयमाणाय वक्ष्यामि हितकाम्यया      
","
śhrī bhagavān uvāchabhūya eva mahā bāho śhṛiṇu me paramaṁ vachaḥyatte ’haṁ prīyamāṇāya vakṣhyāmi hita kāmyayā
"
345,10,2,"
न मे विदु: सुरगणा: प्रभवं न महर्षय:  अहमादिर्हि देवानां महर्षीणां च सर्वश:      
","
na me viduḥ sura gaṇāḥ prabhavaṁ na maharṣhayaḥaham ādir hi devānāṁ maharṣhīṇāṁ cha sarvaśhaḥ
"
346,10,3,"
यो मामजमनादिं च वेत्ति लोकमहेश्वरम्  असम्मूढ: स मर्त्येषु सर्वपापै: प्रमुच्यते      
","
yo māmajam anādiṁ cha vetti loka maheśhvaramasammūḍhaḥ sa martyeṣhu sarva pāpaiḥ pramuchyate
"
347,10,4,"
बुद्धिर्ज्ञानमसम्मोह: क्षमा सत्यं दम: शम:  सुखं दु:खं भवोऽभावो भयं चाभयमेव च      अहिंसा समता तुष्टिस्तपो दानं यशोऽयश:  भवन्ति भावा भूतानां मत्त एव पृथग्विधा:      
","
buddhir jñānam asammohaḥ kṣhamā satyaṁ damaḥ śhamaḥsukhaṁ duḥkhaṁ bhavo ’bhāvo bhayaṁ chābhayameva chaahinsā samatā tuṣhṭis tapo dānaṁ yaśho ’yaśhaḥbhavanti bhāvā bhūtānāṁ matta eva pṛithag vidhāḥ
"
348,10,5,"
महर्षय: सप्त पूर्वे चत्वारो मनवस्तथा  मद्भावा मानसा जाता येषां लोक इमा: प्रजा:      
","
maharṣhayaḥ sapta pūrve chatvāro manavas tathāmad bhāvā mānasā jātā yeṣhāṁ loka imāḥ prajāḥ
"
349,10,6,"
एतां विभूतिं योगं च मम यो वेत्ति तत्त्वत:  सोऽविकम्पेन योगेन युज्यते नात्र संशय:      
","
etāṁ vibhūtiṁ yogaṁ cha mama yo vetti tattvataḥso ’vikampena yogena yujyate nātra sanśhayaḥ
"
350,10,7,"
अहं सर्वस्य प्रभवो मत्त: सर्वं प्रवर्तते  इति मत्वा भजन्ते मां बुधा भावसमन्विता:      
","
ahaṁ sarvasya prabhavo mattaḥ sarvaṁ pravartateiti matvā bhajante māṁ budhā bhāva samanvitāḥ
"
351,10,8,"
मच्चित्ता मद्गतप्राणा बोधयन्त: परस्परम्  कथयन्तश्च मां नित्यं तुष्यन्ति च रमन्ति च      
","
mach chittā mad gata prāṇā bodhayantaḥ parasparamkathayantaśh cha māṁ nityaṁ tuṣhyanti cha ramanti cha
"
352,10,9,"
तेषां सततयुक्तानां भजतां प्रीतिपूर्वकम्  ददामि बुद्धियोगं तं येन मामुपयान्ति ते      
","
teṣhāṁ satata yuktānāṁ bhajatāṁ prīti pūrvakamdadāmi buddhi yogaṁ taṁ yena mām upayānti te
"
353,10,10,"
तेषामेवानुकम्पार्थमहमज्ञानजं तम:  नाशयाम्यात्मभावस्थो ज्ञानदीपेन भास्वता      
","
teṣhām evānukampārtham aham ajñāna jaṁ tamaḥnāśhayāmyātma bhāva stho jñāna dīpena bhāsvatā
"
354,10,11,"
अर्जुन उवाच  परं ब्रह्म परं धाम पवित्रं परमं भवान्  पुरुषं शाश्वतं दिव्यमादिदेवमजं विभुम्      आहुस्त्वामृषय: सर्वे देवर्षिर्नारदस्तथा  असितो देवलो व्यास: स्वयं चैव ब्रवीषि मे      
","
arjuna uvāchaparaṁ brahma paraṁ dhāma pavitraṁ paramaṁ bhavānpuruṣhaṁ śhāśhvataṁ divyam ādi devam ajaṁ vibhumāhus tvām ṛiṣhayaḥ sarve devarṣhir nāradas tathāasito devalo vyāsaḥ svayaṁ chaiva bravīṣhi me
"
355,10,12,"
सर्वमेतदृतं मन्ये यन्मां वदसि केशव  न हि ते भगवन्व्यक्तिं विदुर्देवा न दानवा:      
","
sarvam etad ṛitaṁ manye yan māṁ vadasi keśhavana hi te bhagavan vyaktiṁ vidur devā na dānavāḥ
"
356,10,13,"
स्वयमेवात्मनात्मानं वेत्थ त्वं पुरुषोत्तम  भूतभावन भूतेश देवदेव जगत्पते      
","
swayam evātmanātmānaṁ vettha tvaṁ puruṣhottamabhūta bhāvana bhūteśha deva deva jagat pate
"
357,10,14,"
वक्तुमर्हस्यशेषेण दिव्या ह्यात्मविभूतय:  याभिर्विभूतिभिर्लोकानिमांस्त्वं व्याप्य तिष्ठसि      कथं विद्यामहं योगिंस्त्वां सदा परिचिन्तयन्  केषु केषु च भावेषु चिन्त्योऽसि भगवन्मया      
","
vaktum arhasyaśheṣheṇa divyā hyātma vibhūtayaḥyābhir vibhūtibhir lokān imāṁs tvaṁ vyāpya tiṣhṭhasikathaṁ vidyām ahaṁ yogins tvāṁ sadā parichintayankeṣhu keṣhu cha bhāveṣhu chintyo ’si bhagavan mayā
"
358,10,15,"
विस्तरेणात्मनो योगं विभूतिं च जनार्दन  भूय: कथय तृप्तिर्हि शृण्वतो नास्ति मेऽमृतम्      
","
vistareṇātmano yogaṁ vibhūtiṁ cha janārdanabhūyaḥ kathaya tṛiptir hi śhṛiṇvato nāsti me ’mṛitam
"
359,10,16,"
श्रीभगवानुवाच  हन्त ते कथयिष्यामि दिव्या ह्यात्मविभूतय:  प्राधान्यत: कुरुश्रेष्ठ नास्त्यन्तो विस्तरस्य मे     
","
śhrī bhagavān uvāchahanta te kathayiṣhyāmi divyā hyātma vibhūtayaḥprādhānyataḥ kuru śhreṣhṭha nāstyanto vistarasya me
"
360,10,17,"
अहमात्मा गुडाकेश सर्वभूताशयस्थित:  अहमादिश्च मध्यं च भूतानामन्त एव च      
","
aham ātmā guḍākeśha sarva bhūtāśhaya sthitaḥaham ādiśh cha madhyaṁ cha bhūtānām anta eva cha
"
361,10,18,"
आदित्यानामहं विष्णुर्ज्योतिषां रविरंशुमान्  मरीचिर्मरुतामस्मि नक्षत्राणामहं शशी      
","
ādityānām ahaṁ viṣhṇur jyotiṣhāṁ ravir anśhumānmarīchir marutām asmi nakṣhatrāṇām ahaṁ śhaśhī
"
362,10,19,"
वेदानां सामवेदोऽस्मि देवानामस्मि वासव:  इन्द्रियाणां मनश्चास्मि भूतानामस्मि चेतना      
","
vedānāṁ sāma vedo ’smi devānām asmi vāsavaḥindriyāṇāṁ manaśh chāsmi bhūtānām asmi chetanā
"
363,10,20,"
रुद्राणां शङ्करश्चास्मि वित्तेशो यक्षरक्षसाम्  वसूनां पावकश्चास्मि मेरु: शिखरिणामहम्      
","
rudrāṇāṁ śhaṅkaraśh chāsmi vitteśho yakṣha rakṣhasāmvasūnāṁ pāvakaśh chāsmi meruḥ śhikhariṇām aham
"
364,10,21,"
पुरोधसां च मुख्यं मां विद्धि पार्थ बृहस्पतिम्  सेनानीनामहं स्कन्द: सरसामस्मि सागर:      
","
purodhasāṁ cha mukhyaṁ māṁ viddhi pārtha bṛihaspatimsenānīnām ahaṁ skandaḥ sarasām asmi sāgaraḥ
"
365,10,22,"
महर्षीणां भृगुरहं गिरामस्म्येकमक्षरम्  यज्ञानां जपयज्ञोऽस्मि स्थावराणां हिमालय:      
","
maharṣhīṇāṁ bhṛigur ahaṁ girām asmyekam akṣharamyajñānāṁ japa yajño ’smi sthāvarāṇāṁ himālayaḥ
"
366,10,23,"
अश्वत्थ: सर्ववृक्षाणां देवर्षीणां च नारद:  गन्धर्वाणां चित्ररथ: सिद्धानां कपिलो मुनि:      
","
aśhvatthaḥ sarva vṛikṣhāṇāṁ devarṣhīṇāṁ cha nāradaḥgandharvāṇāṁ chitrarathaḥ siddhānāṁ kapilo muniḥ
"
367,10,24,"
उच्चै:श्रवसमश्वानां विद्धि माममृतोद्भवम्  ऐरावतं गजेन्द्राणां नराणां च नराधिपम्      
","
uchchaiḥśhravasam aśhvānāṁ viddhi mām amṛitodbhavamairāvataṁ gajendrāṇāṁ narāṇāṁ cha narādhipam
"
368,10,25,"
आयुधानामहं वज्रं धेनूनामस्मि कामधुक्  प्रजनश्चास्मि कन्दर्प: सर्पाणामस्मि वासुकि:      
","
āyudhānām ahaṁ vajraṁ dhenūnām asmi kāmadhukprajanaśh chāsmi kandarpaḥ sarpāṇām asmi vāsukiḥ
"
369,10,26,"
अनन्तश्चास्मि नागानां वरुणो यादसामहम्  पितृणामर्यमा चास्मि यम: संयमतामहम्      
","
anantaśh chāsmi nāgānāṁ varuṇo yādasām ahampitṝīṇām aryamā chāsmi yamaḥ sanyamatām aham
"
370,10,27,"
प्रह्लादश्चास्मि दैत्यानां काल: कलयतामहम्  मृगाणां च मृगेन्द्रोऽहं वैनतेयश्च पक्षिणाम्      
","
prahlādaśh chāsmi daityānāṁ kālaḥ kalayatām ahammṛigāṇāṁ cha mṛigendro ’haṁ vainateyaśh cha pakṣhiṇām
"
371,10,28,"
पवन: पवतामस्मि राम: शस्त्रभृतामहम्  झषाणां मकरश्चास्मि स्रोतसामस्मि जाह्नवी      
","
pavanaḥ pavatām asmi rāmaḥ śhastra bhṛitām ahamjhaṣhāṇāṁ makaraśh chāsmi srotasām asmi jāhnavī
"
372,10,29,"
सर्गाणामादिरन्तश्च मध्यं चैवाहमर्जुन  अध्यात्मविद्या विद्यानां वाद: प्रवदतामहम्      
","
sargāṇām ādir antaśh cha madhyaṁ chaivāham arjunaadhyātma vidyā vidyānāṁ vādaḥ pravadatām aham
"
373,10,30,"
अक्षराणामकारोऽस्मि द्वन्द्व: सामासिकस्य च  अहमेवाक्षय: कालो धाताहं विश्वतोमुख:      
","
akṣharāṇām a kāro ’smi dvandvaḥ sāmāsikasya chaaham evākṣhayaḥ kālo dhātāhaṁ viśhvato mukhaḥ
"
374,10,31,"
मृत्यु: सर्वहरश्चाहमुद्भवश्च भविष्यताम्  कीर्ति: श्रीर्वाक्च नारीणां स्मृतिर्मेधा धृति: क्षमा      
","
mṛityuḥ sarva haraśh chāham udbhavaśh cha bhaviṣhyatāmkīrtiḥ śhrīr vāk cha nārīṇāṁ smṛitir medhā dhṛitiḥ kṣhamā
"
375,10,32,"
बृहत्साम तथा साम्नां गायत्री छन्दसामहम्  मासानां मार्गशीर्षोऽहमृतूनां कुसुमाकर:      
","
bṛihat sāma tathā sāmnāṁ gāyatrī chhandasām ahammāsānāṁ mārga śhīrṣho ’ham ṛitūnāṁ kusumākaraḥ
"
376,10,33,"
द्यूतं छलयतामस्मि तेजस्तेजस्विनामहम्  जयोऽस्मि व्यवसायोऽस्मि सत्त्वं सत्त्ववतामहम्      
","
dyūtaṁ chhalayatām asmi tejas tejasvinām ahamjayo ’smi vyavasāyo ’smi sattvaṁ sattvavatām aham
"
377,10,34,"
वृष्णीनां वासुदेवोऽस्मि पाण्डवानां धनञ्जय:  मुनीनामप्यहं व्यास: कवीनामुशना कवि:      
","
vṛiṣhṇīnāṁ vāsudevo ’smi pāṇḍavānāṁ dhanañjayaḥmunīnām apyahaṁ vyāsaḥ kavīnām uśhanā kaviḥ
"
378,10,35,"
दण्डो दमयतामस्मि नीतिरस्मि जिगीषताम्  मौनं चैवास्मि गुह्यानां ज्ञानं ज्ञानवतामहम्      
","
daṇḍo damayatām asmi nītir asmi jigīṣhatāmmaunaṁ chaivāsmi guhyānāṁ jñānaṁ jñānavatām aham
"
379,10,36,"
यच्चापि सर्वभूतानां बीजं तदहमर्जुन  न तदस्ति विना यत्स्यान्मया भूतं चराचरम्      
","
yach chāpi sarva bhūtānāṁ bījaṁ tad aham arjunana tad asti vinā yat syān mayā bhūtaṁ charācharam
"
380,10,37,"
नान्तोऽस्ति मम दिव्यानां विभूतीनां परन्तप  एष तूद्देशत: प्रोक्तो विभूतेर्विस्तरो मया      
","
nānto ’sti mama divyānāṁ vibhūtīnāṁ parantapaeṣha tūddeśhataḥ prokto vibhūter vistaro mayā
"
381,10,38,"
यद्यद्विभूतिमत्सत्त्वं श्रीमदूर्जितमेव वा  तत्देवावगच्छ त्वं मम तेजोंऽशसम्भवम्      
","
yad yad vibhūtimat sattvaṁ śhrīmad ūrjitam eva vātat tad evāvagachchha tvaṁ mama tejo ’nśha sambhavam
"
382,10,39,"
अथवा बहुनैतेन किं ज्ञातेन तवार्जुन  विष्टभ्याहमिदं कृत्स्नमेकांशेन स्थितो जगत्      
","
atha vā bahunaitena kiṁ jñātena tavārjunaviṣhṭabhyāham idaṁ kṛitsnam ekānśhena sthito jagat
"
383,11,1,"
अर्जुन उवाच  मदनुग्रहाय परमं गुह्यमध्यात्मसञ्ज्ञितम्  यत्त्वयोक्तं वचस्तेन मोहोऽयं विगतो मम      
","
arjuna uvāchamad anugrahāya paramaṁ guhyam adhyātma sanjñitamyat tvayoktaṁ vachas tena moho ’yaṁ vigato mama
"
384,11,2,"
भवाप्ययौ हि भूतानां श्रुतौ विस्तरशो मया  त्वत्त: कमलपत्राक्ष माहात्म्यमपि चाव्ययम्      
","
bhavāpyayau hi bhūtānāṁ śhrutau vistaraśho mayātvattaḥ kamala patrākṣha māhātmyam api chāvyayam
"
385,11,3,"
एवमेतद्यथात्थ त्वमात्मानं परमेश्वर  द्रष्टुमिच्छामि ते रूपमैश्वरं पुरुषोत्तम      
","
evam etad yathāttha tvam ātmānaṁ parameśhvaradraṣhṭum ichchhāmi te rūpam aiśhwaraṁ puruṣhottama
"
386,11,4,"
मन्यसे यदि तच्छक्यं मया द्रष्टुमिति प्रभो  योगेश्वर ततो मे त्वं दर्शयात्मानमव्ययम्      
","
manyase yadi tach chhakyaṁ mayā draṣhṭum iti prabhoyogeśhvara tato me tvaṁ darśhayātmānam avyayam
"
387,11,5,"
श्रीभगवानुवाच  पश्य मे पार्थ रूपाणि शतशोऽथ सहस्रश:  नानाविधानि दिव्यानि नानावर्णाकृतीनि च      
","
śhrī bhagavān uvāchapaśhya me pārtha rūpāṇi śhataśho ’tha sahasraśhaḥnānā vidhāni divyāni nānā varṇākṛitīni cha
"
388,11,6,"
पश्यादित्यान्वसून् रुद्रानश्विनौ मरुतस्तथा  बहून्यदृष्टपूर्वाणि पश्याश्चर्याणि भारत      
","
paśhyādityān vasūn rudrān aśhvinau marutas tathābahūny adṛiṣhṭa pūrvāṇi paśhyāśhcharyāṇi bhārata
"
389,11,7,"
इहैकस्थं जगत्कृत्स्नं पश्याद्य सचराचरम्  मम देहे गुडाकेश यच्चान्यद्द्रष्टुमिच्छसि      
","
ihaika sthaṁ jagat kṛitsnaṁ paśhyādya sa charācharammama dehe guḍākeśha yach chānyad draṣhṭum ichchhasi
"
390,11,8,"
न तु मां शक्यसे द्रष्टुमनेनैव स्वचक्षुषा  दिव्यं ददामि ते चक्षु: पश्य मे योगमैश्वरम्      
","
na tu māṁ śhakyase draṣhṭum anenaiva sva chakṣhuṣhādivyaṁ dadāmi te chakṣhuḥ paśhya me yogam aiśhwaram
"
391,11,9,"
सञ्जय उवाच  एवमुक्त्वा ततो राजन्महायोगेश्वरो हरि:  दर्शयामास पार्थाय परमं रूपमैश्वरम्      
","
sañjaya uvāchaevam uktvā tato rājan mahā yogeśhvaro hariḥdarśhayām āsa pārthāya paramaṁ rūpam aiśhwaram
"
392,11,10,"
अनेकवक्त्रनयनमनेकाद्भुतदर्शनम्  अनेकदिव्याभरणं दिव्यानेकोद्यतायुधम्      दिव्यमाल्याम्बरधरं दिव्यगन्धानुलेपनम्  सर्वाश्चर्यमयं देवमनन्तं विश्वतोमुखम्      
","
aneka vaktra nayanam anekādbhuta darśhanamaneka divyābharaṇaṁ divyānekodyatāyudhamdivya mālyāmbara dharaṁ divya gandhānulepanamsarvāśhcharya mayaṁ devam anantaṁ viśhvato mukham
"
393,11,11,"
दिवि सूर्यसहस्रस्य भवेद्युगपदुत्थिता  यदि भा: सदृशी सा स्याद्भासस्तस्य महात्मन:      
","
divi sūrya sahasrasya bhaved yugapad utthitāyadi bhāḥ sadṛiśhī sā syād bhāsas tasya mahātmanaḥ
"
394,11,12,"
तत्रैकस्थं जगत्कृत्स्नं प्रविभक्तमनेकधा  अपश्यद्देवदेवस्य शरीरे पाण्डवस्तदा      
","
tatraika sthaṁ jagat kṛitsnaṁ pravibhaktam anekadhāapaśhyad deva devasya śharīre pāṇḍavas tadā
"
395,11,13,"
तत: स विस्मयाविष्टो हृष्टरोमा धनञ्जय:  प्रणम्य शिरसा देवं कृताञ्जलिरभाषत      
","
tataḥ sa vismayāviṣhṭo hṛiṣhṭa romā dhanañjayaḥpraṇamya śhirasā devaṁ kṛitāñjalir abhāṣhata
"
396,11,14,"
अर्जुन उवाच  पश्यामि देवांस्तव देव देहेसर्वांस्तथा भूतविशेषसङ्घान्  ब्रह्माणमीशं कमलासनस्थ-मृषींश्च सर्वानुरगांश्च दिव्यान्      
","
arjuna uvāchapaśhyāmi devāns tava deva dehesarvāns tathā bhūta viśheṣha saṅghānbrahmāṇam īśhaṁ kamalāsana sthamṛiṣhīnśh cha sarvān uragānśh cha divyān
"
