,Translation
chpt11V49,"Be neither afraid nor bewildered on seeing this terrible form of Mine. Be free from fear and with a cheerful heart, behold Me once again in My personal form."
chpt11V50,"Sanjay said: Having spoken thus, the compassionate son of Vasudev displayed His personal (four-armed) form again. Then, He further consoled the frightened Arjun by assuming His gentle (two-armed) form."
chpt11V51,"Arjun said: O Shree Krishna, seeing Your gentle human form (two-armed), I have regained my composure and my mind is restored to normal."
chpt11V52,"The Supreme Lord said: This form of Mine that you are seeing is exceedingly difficult to behold. Even the celestial gods are eager to see it. Neither by the study of the Vedas, nor by penance, charity, or fire sacrifices, can I be seen as you have seen Me."
chpt11V54,"O Arjun, by unalloyed devotion alone can I be known as I am, standing before you. Thereby, on receiving My divine vision, O scorcher of foes, one can enter into union with Me."
chpt11V55,"Those who perform all their duties for My sake, who depend upon Me and are devoted to Me, who are free from attachment, and are without malice toward all beings, such devotees certainly come to Me."
chpt12V1,"Arjun inquired: Between those who are steadfastly devoted to Your personal form and those who worship the formless Brahman, whom do You consider to be more perfect in Yog?"
chpt12V2,"The Lord said: Those who fix their minds on Me and always engage in My devotion with steadfast faith, I consider them to be the best yogis."
chpt12V3,"But those who worship the formless aspect of the Absolute Truth—the imperishable, the indefinable, the unmanifest, the all-pervading, the unthinkable, the unchanging, the eternal, and the immoveable—by restraining their senses and being even-minded everywhere, such persons, engaged in the welfare of all beings, also attain Me."
chpt12V5,"For those whose minds are attached to the unmanifest, the path of realization is full of tribulations.  Worship of the unmanifest is exceedingly difficult for embodied beings."
chpt12V6,"But those who dedicate all their actions to Me, regarding Me as the Supreme goal, worshiping Me and meditating on Me with exclusive devotion, O Parth, I swiftly deliver them from the ocean of birth and death, for their consciousness is united with Me."
chpt12V8,"Fix your mind on Me alone and surrender your intellect to Me.  There upon, you will always live in Me.  Of this, there is no doubt."
chpt12V9,"If you are unable to fix your mind steadily on Me, O Arjun, then practice remembering Me with devotion while constantly restraining the mind from worldly affairs."
chpt12V10,"If you cannot practice remembering Me with devotion, then just try to work for Me.  Thus performing devotional service to Me, you shall achieve the stage of perfection."
chpt12V11,"If you are unable to even work for Me in devotion, then try to renounce the fruits of your actions and be situated in the self."
chpt12V12,"Better than mechanical practice is knowledge; better than knowledge is meditation.  Better than meditation is renunciation of the fruits of actions, for peace immediately follows such renunciation."
chpt12V13,"Those devotees are very dear to Me who are free from malice toward all living beings, who are friendly, and compassionate.  They are free from attachment to possessions and egotism, equipoised in happiness and distress, and ever-forgiving.   They are ever-content, steadily united with Me in devotion, self-controlled, of firm resolve, and dedicated to Me in mind and intellect."
chpt12V15,"Those who are not a source of annoyance to anyone and who in turn are not agitated by anyone, who are equal in pleasure and pain, and free from fear and anxiety, such devotees of Mine are very dear to Me."
chpt12V16,"Those who are indifferent to worldly gains, externally and internally pure, skillful, without cares, untroubled, and free from selfishness in all undertakings, such devotees of Mine are very dear to Me."
chpt12V17,"Those who neither rejoice in mundane pleasures nor despair in worldly sorrows, who neither lament for any loss nor hanker for any gain, who renounce both good and evil deeds, such persons who are full of devotion are very dear to Me."
chpt12V18,"Those, who are alike to friend and foe, equipoised in honor and dishonor, cold and heat, joy and sorrow, and are free from all unfavorable association; those who take praise and reproach alike, who are given to silent contemplation, content with what comes their way, without attachment to the place of residence, whose intellect is firmly fixed in Me, and who are full of devotion to Me, such persons are very dear to Me."
chpt12V20,"Those who honor this nectar of wisdom declared here, have faith in Me, and are devoted and intent on Me as the supreme goal, they are exceedingly dear to Me."
chpt13V1,"Arjun said, “O Keshav, I wish to understand what are"
chpt13V2,"The Supreme Divine Lord said: O Arjun, this body is termed as"
chpt13V3,"O scion of Bharat, I am also the knower of all the individual fields of activity.  The understanding of the body as the field of activities, and the soul and God as the knowers of the field, this I hold to be true knowledge."
chpt13V4,"Listen and I will explain to you what that field is and what its nature is.  I will also explain how change takes place within it, from what it was created, who the knower of the field of activities is, and what his powers are."
chpt13V5,"Great sages have sung the truth about the field and the knower of the field in manifold ways.  It has been stated in various Vedic hymns, and especially revealed in the Brahma Sūtra, with sound logic and conclusive evidence."
chpt13V6,"The field of activities is composed of the five great elements, the ego, the intellect, the unmanifest primordial matter, the eleven senses (five knowledge senses, five working senses, and mind), and the five objects of the senses."
chpt13V7,"Desire and aversion, happiness and misery, the body, consciousness, and the will—all these comprise the field and its modifications."
chpt13V8,"Humbleness; freedom from hypocrisy; non-violence; forgiveness; simplicity; service of the Guru; cleanliness of body and mind; steadfastness; and self-control; dispassion toward the objects of the senses; absence of egotism; keeping in mind the evils of birth, disease, old age, and death; non-attachment; absence of clinging to spouse, children, home, and so on; even-mindedness amidst desired and undesired events in life; constant and exclusive devotion toward Me; an inclination for solitary places and an aversion for mundane society; constancy in spiritual knowledge; and philosophical pursuit of the Absolute Truth—all these I declare to be knowledge, and what is contrary to it, I call ignorance."
chpt13V13,"I shall now reveal to you that which ought to be known, and by knowing which, one attains immortality.  It is the beginningless Brahman, which lies beyond existence and non-existence."
chpt13V14,"Everywhere are His hands and feet, eyes, heads, and faces.  His ears too are in all places, for He pervades everything in the universe."
chpt13V15,"Though He perceives all sense-objects, yet He is devoid of the senses.  He is unattached to everything, and yet He is the sustainer of all.  Although He is without attributes, yet He is the enjoyer of the three modes of material nature."
chpt13V16,"He exists outside and inside all living beings, those that are moving and not moving.  He is subtle, and hence, He is incomprehensible.  He is very far, but He is also very near."
chpt13V17,"He is indivisible, yet He appears to be divided amongst living beings.  Know the Supreme Entity to be the Sustainer, Annihilator, and Creator of all beings."
chpt13V18,"He is the source of light in all luminaries, and is entirely beyond the darkness of ignorance.  He is knowledge, the object of knowledge, and the goal of knowledge.  He dwells within the hearts of all living beings."
chpt13V19,"I have thus revealed to you the nature of the field, the meaning of knowledge, and the object of knowledge.  Only My devotees can understand this in reality, and by doing so, they attain My divine nature."
chpt13V20,Know that
chpt13V21,"In the matter of creation, the material energy is responsible for cause and effect; in the matter of experiencing happiness and distress, the individual soul is declared responsible."
chpt13V22,When the
chpt13V23,"Within the body also resides the Supreme Lord.  He is said to be the Witness, the Permitter, the Supporter, Transcendental Enjoyer, the ultimate Controller, and the"
chpt13V24,"Those who understand the truth about Supreme Soul, the individual soul, material nature, and the interaction of the three modes of nature will not take birth here again.  They will be liberated regardless of their present condition."
chpt13V25,"Some try to perceive the Supreme Soul within their hearts through meditation, and others try to do so through the cultivation of knowledge, while still others strive to attain that realization by the path of action."
chpt13V26,"There are still others who are unaware of these spiritual paths, but they hear from others and begin worshipping the Supreme Lord.  By such devotion to hearing from saints, they too can gradually cross over the ocean of birth and death."
chpt13V27,"O best of the Bharatas, whatever moving or unmoving being you see in existence, know it to be a combination of the field of activities and the knower of the field."
chpt13V28,"They alone truly see, who perceive the"
chpt13V29,"Those, who see God as the Supreme Soul equally present everywhere and in all living beings, do not degrade themselves by their mind.  Thereby, they reach the supreme destination."
chpt13V30,"They alone truly see who understand that all actions (of the body) are performed by material nature, while the embodied soul actually does nothing."
chpt13V31,"When they see the diverse variety of living beings situated in the same material nature, and understand all of them to be born from it, they attain the realization of the Brahman."
chpt13V32,"The Supreme Soul is imperishable, without beginning, and devoid of any material qualities, O son of Kunti.  Although situated within the body, It neither acts, nor is It tainted by material energy."
chpt13V33,"Space holds everything within it, but being subtle, does not get contaminated by what it holds.  Similarly, though its consciousness pervades the body, the soul is not affected by the attributes of the body."
chpt13V34,"Just as one sun illumines the entire solar system, so does the individual soul illumine the entire body (with consciousness)."
chpt13V35,"Those who perceive with the eyes of knowledge the difference between the body and the knower of the body, and the process of release from material nature, attain the supreme destination."
chpt14V1,"The Divine Lord said: I shall once again explain to you the supreme wisdom, the best of all knowledge; by knowing which, all the great saints attained the highest perfection."
chpt14V2,Those who take refuge in this wisdom will be united with Me. They will not be reborn at the time of creation nor destroyed at the time of dissolution.
chpt14V3,"The total material substance,"
chpt14V5,"O mighty-armed Arjun, the material energy consists of three"
chpt14V6,"Amongst these,"
chpt14V7,"O Arjun,"
chpt14V8,"O Arjun,"
chpt14V9,
chpt14V10,Sometimes goodness (
chpt14V11,"When all the gates of the body are illumined by knowledge, know it to be a manifestation of the mode of goodness. When the mode of passion predominates, O Arjun, the symptoms of greed, exertion for worldly gain, restlessness, and craving develop. O Arjun, nescience, inertia, negligence, and delusion—these are the dominant signs of the mode of ignorance."
chpt14V14,Those who die with predominance of
chpt14V16,"It is said the fruit of actions performed in the mode of goodness bestow pure results. Actions done in the mode of passion result in pain, while those performed in the mode of ignorance result in darkness."
chpt14V17,"From the mode of goodness arises knowledge, from the mode of passion arises greed, and from the mode of ignorance arise negligence and delusion."
chpt14V18,Those situated in the mode of goodness rise upward; those in the mode of passion stay in the middle; and those in the mode of ignorance go downward.
chpt14V19,When wise persons see that in all work there is no agent of action other than the three
chpt14V20,"By transcending the three modes of material nature associated with the body, one becomes free from birth, death, old age, and misery, and attains immortality."
chpt14V21,Arjun inquired: What are the characteristics of those who have gone beyond the three
chpt14V22,"The Supreme Divine Personality said: O Arjun, The persons who are transcendental to the three"
chpt14V24,"Those who are alike in happiness and distress; who are established in the self; who look upon a clod, a stone, and a piece of gold as of equal value; who remain the same amidst pleasant and unpleasant events; who are intelligent; who accept both blame and praise with equanimity; who remain the same in honor and dishonor; who treat both friend and foe alike; and who have abandoned all enterprises – they are said to have risen above the three"
chpt14V26,Those who serve Me with unalloyed devotion rise above the three modes of material nature and come to the level of the Brahman.
chpt14V27,"I am the basis of the formless Brahman, the immortal and imperishable, of eternal dharma, and of unending divine bliss."
chpt15V1,The Supreme Divine Personality said: They speak of an eternal
chpt15V2,"The branches of the tree extend upward and downward, nourished by the three"
chpt15V3,"The real form of this tree is not perceived in this world, neither its beginning nor end, nor its continued existence.  But this deep-rooted aśhvatth tree must be cut down with a strong axe of detachment.  Then one must search out the base of the tree, which is the Supreme Lord, from whom streamed forth the activity of the universe a long time ago.  Upon taking refuge in Him, one will not return to this world again."
chpt15V5,"Those who are free from vanity and delusion, who have overcome the evil of attachment, who dwell constantly on the self and on God, who are free from the desire to enjoy the senses, and are beyond the dualities of pleasure and pain, such liberated personalities attain My eternal Abode."
chpt15V6,"Neither the sun nor the moon, nor fire can illumine that Supreme Abode of Mine.  Having gone There, one does not return to this material world again."
chpt15V7,"The embodied souls in this material world are My eternal fragmental parts.  But bound by material nature, they are struggling with the six senses including the mind."
chpt15V8,"As the air carries fragrance from place to place, so does the embodied soul carry the mind and senses with it, when it leaves an old body and enters a new one."
chpt15V9,"Using the sense perceptions of the ears, eyes, skin, tongue, and nose, which are grouped around the mind, the embodied soul savors the objects of the senses."
chpt15V10,"The ignorant do not perceive the soul as it resides in the body, and as it enjoys sense objects; nor do they perceive it when it departs.  But those who possess the eyes of knowledge can behold it."
chpt15V11,"Striving yogis too are able to realize the soul enshrined in the body.  However, those whose minds are not purified cannot cognize it, even though they strive to do so."
chpt15V12,Know that I am like the brilliance of the sun that illuminates the entire solar system.  The radiance of the moon and the brightness of the fire also come from Me.
chpt15V13,"Permeating the earth, I nourish all living beings with My energy.  Becoming the moon, I nourish all plants with the juice of life."
chpt15V14,"It is I who take the form of the fire of digestion in the stomachs of all living beings, and combine with the incoming and outgoing breaths, to digest and assimilate the four kinds of foods."
chpt15V15,"I am seated in the hearts of all living beings, and from Me come memory, knowledge, as well as forgetfulness.  I alone am to be known by all the Vedas, am the author of the Vedant, and the knower of the meaning of the Vedas."
chpt15V16,"There are two kinds of beings in creation, the"
chpt15V17,"Besides these, is the Supreme Divine Personality, who is the indestructible Supreme Soul.  He enters the three worlds as the unchanging Controller and supports all living beings."
chpt15V18,"I am transcendental to the perishable world of matter, and even to the imperishable soul; hence I am celebrated, both in the Vedas and the"
chpt15V19,"Those who know Me without doubt as the Supreme Divine Personality truly have complete knowledge.  O Arjun, they worship Me with their whole being."
chpt15V20,"I have shared this most secret principle of the Vedic scriptures with you, O sinless Arjun.  By understanding this, a person becomes enlightened, and fulfills all that is to be accomplished."
chpt16V1,"The Supreme Divine Personality said: O scion of Bharat, these are the saintly virtues of those endowed with a divine nature—fearlessness, purity of mind, steadfastness in spiritual knowledge, charity, control of the senses, sacrifice, study of the sacred books, austerity, and straightforwardness; non-violence, truthfulness, absence of anger, renunciation, peacefulness, restraint from fault-finding, compassion toward all living beings, absence of covetousness, gentleness, modesty, and lack of fickleness; vigor, forgiveness, fortitude, cleanliness, bearing enmity toward none, and absence of vanity."
chpt16V4,"O Parth, the qualities of those who possess a demoniac nature are hypocrisy, arrogance, conceit, anger, harshness, and ignorance."
chpt16V5,"The divine qualities lead to liberation, while the demoniac qualities are the cause for a continuing destiny of bondage. Grieve not, O Arjun, as you were born with saintly virtues."
chpt16V6,"There are two kinds of beings in this world—those endowed with a divine nature and those possessing a demoniac nature. I have described the divine qualities in detail, O Arjun. Now hear from me about the demoniac nature."
chpt16V7,"Those possessing a demoniac nature do not comprehend which actions are proper and which are improper. Hence, they possess neither purity, nor good conduct, nor even truthfulness."
chpt16V8,"They say, “The world is without Absolute Truth, without any basis (for moral order), and without a God (who has created or is controlling it). It is created from the combination of the two sexes, and has no purpose other than sexual gratification.”"
chpt16V9,"Holding fast to such views, these misdirected souls, with small intellect and cruel actions, arise as enemies of the world threatening its destruction."
chpt16V10,"Harboring insatiable lust, full of hypocrisy, pride and arrogance, the demoniac cling to their false tenets. Thus illusioned, they are attracted to the impermanent and work with impure resolve."
chpt16V11,"They are obsessed with endless anxieties that end only with death. Still, they maintain with complete assurance that gratification of desires and accumulation of wealth is the highest purpose of life."
chpt16V12,"Held in bondage by hundreds of desires, and driven by lust and anger, they strive to accumulate wealth by unjust means, all for the gratification of their senses."
chpt16V13,"The demoniac persons think, “I have gained so much wealth today, and I shall now fulfill this desire of mine. This is mine, and tomorrow I shall have even more. That enemy has been destroyed by me, and I shall destroy the others too! I am like God Himself, I am the enjoyer, I am perfect, I am powerful, and I am happy. I am wealthy and I have highly placed relatives. Who else is equal to me? I shall perform sacrifices (to the celestial gods); I shall give alms; I shall rejoice.” In this way, they are deluded by ignorance."
chpt16V16,"Possessed and led astray by such imaginings, enveloped in a mesh of delusion, and addicted to the gratification of sensuous pleasures, they descend to the murkiest hell."
chpt16V17,"Such self-conceited and stubborn people, full of pride and arrogant in their wealth, perform ostentatious sacrifices in name only, with no regard to the rules of the scriptures."
chpt16V18,"Blinded by egotism, strength, arrogance, desire, and anger, the demonic abuse Me, who am present in their own body and in the bodies of others."
chpt16V19,"These cruel and hateful persons, the vile and vicious of humankind, I constantly hurl into the wombs of those with similar demoniac natures in the cycle of rebirth in the material world. These ignorant souls take birth again and again in demoniac wombs. Failing to reach Me, O Arjun, they gradually sink to the most abominable type of existence."
chpt16V21,"There are three gates leading to the hell of self-destruction for the soul—lust, anger, and greed. Therefore, one should abandon all three."
chpt16V22,"Those who are free from the three gates to darkness endeavor for the welfare of their soul, and thereby attain the supreme goal."
chpt16V23,"Those who act under the impulse of desire, discarding the injunctions of the scriptures, attain neither perfection, nor happiness, nor the supreme goal in life."
chpt16V24,"Therefore, let the scriptures be your authority in determining what should be done and what should not be done. Understand the scriptural injunctions and teachings, and then perform your actions in this world accordingly."
chpt17V1,"Arjun said: O Krishna, where do they stand who disregard the injunctions of the scriptures, but still worship with faith? Is their faith in the mode of goodness, passion, or ignorance?"
chpt17V2,"The Supreme Divine Personality said: Every human being is born with innate faith, which can be of three kinds—"
chpt17V3,"The faith of all humans conforms to the nature of their mind. All people possess faith, and whatever the nature of their faith, that is verily what they are."
chpt17V4,Those in the mode of goodness worship the celestial gods; those in the mode of passion worship the
chpt17V5,"Some people perform stern austerities that are not enjoined by the scriptures, but rather motivated by hypocrisy and egotism. Impelled by desire and attachment, they torment not only the elements of their body, but also I who dwell within them as the Supreme Soul. Know these senseless people to be of demoniacal resolves."
chpt17V7,"The food that people prefer is according to their dispositions. The same is true for the sacrifice, austerity, and charity they are inclined (or predisposed) toward. Now hear of the distinctions from Me."
chpt17V8,"Persons in the mode of goodness prefer foods that promote life span, and increase virtue, strength, health, happiness, and satisfaction. Such foods are juicy, succulent, nourishing, and naturally tasteful."
chpt17V9,"Foods that are too bitter, too sour, salty, very hot, pungent, dry, and full of chillies, are dear to persons in the mode of passion. Such foods produce pain, grief, and disease."
chpt17V10,"Foods that are overcooked, stale, putrid, polluted, and impure are dear to persons in the mode of ignorance."
chpt17V11,"Sacrifice that is performed according to scriptural injunctions without expectation of rewards, with the firm conviction of the mind that it is a matter of duty, is of the nature of goodness."
chpt17V12,"O best of the Bharatas, know that sacrifice performed for material benefit, or with a hypocritical aim, is in the mode of passion."
chpt17V13,"Sacrifice devoid of faith and contrary to the injunctions of the scriptures, in which no food is offered, no mantras chanted, and no donation made, is to be considered in the mode of ignorance."
chpt17V14,"When worship of the Supreme Lord, the Brahmins, the spiritual master, the wise, and the elders is done with the observance of cleanliness, simplicity, celibacy, and non-violence then this worship is declared as the austerity of the body."
chpt17V15,"Words that do not cause distress, are truthful, inoffensive, and beneficial, as well as regular recitation of the Vedic scriptures—these are declared as austerity of speech."
chpt17V16,"Serenity of thought, gentleness, silence, self-control, and purity of purpose—all these are declared as austerity of the mind."
chpt17V17,"When devout persons with ardent faith practice these three-fold austerities without yearning for material rewards, they are designated as austerities in the mode of goodness."
chpt17V18,"Austerity that is performed with ostentation for the sake of gaining honor, respect, and adoration is in the mode of passion. Its benefits are unstable and transitory."
chpt17V19,"Austerity that is performed by those with confused notions, and which involves torturing the self or harming others, is described to be in the mode of ignorance."
chpt17V20,"Charity given to a worthy person simply because it is right to give, without consideration of anything in return, at the proper time and in the proper place, is stated to be in the mode of goodness."
chpt17V21,"But charity given with reluctance, with the hope of a return or in expectation of a reward, is said to be in the mode of passion."
chpt17V22,"And that charity, which is given at the wrong place and wrong time to unworthy persons, without showing respect, or with contempt, is held to be of the nature of nescience."
chpt17V23,"The words “Om Tat Sat” have been declared as symbolic representations of the Supreme Absolute Truth, from the beginning of creation. From them came the priests, scriptures, and sacrifice."
chpt17V24,"Therefore, when performing acts of sacrifice, offering charity, or undertaking penance, expounders of the Vedas always begin by uttering “Om” according to the prescriptions of Vedic injunctions."
chpt17V25,"Persons who do not desire fruitive rewards, but seek to be free from material entanglements, utter the word “Tat” along with acts of austerity, sacrifice, and charity."
chpt17V26,"The word “Sat” means eternal existence and goodness. O Arjun, it is also used to describe an auspicious action. Being established in the performance of sacrifice, penance, and charity, is also described by the word “Sat.” And so any act for such purposes is named “Sat.”"
chpt17V28,"O son of Pritha, whatever acts of sacrifice, charity, or penance are done without faith, are termed as"
chpt18V1,"Arjun said: O mighty-armed Krishna, I wish to understand the nature of"
chpt18V2,The Supreme Divine Personality said: Giving up of actions motivated by desire is what the wise understand as
chpt18V3,"Some learned people declare that all kinds of actions should be given up as evil, while others maintain that acts of sacrifice, charity, and penance should never be abandoned."
chpt18V4,"Now hear My conclusion on the subject of renunciation, O tiger amongst men, for renunciation has been declared to be of three kinds."
chpt18V5,"Actions based upon sacrifice, charity, and penance should never be abandoned; they must certainly be performed. Indeed, acts of sacrifice, charity, and penance are purifying even for those who are wise."
chpt18V6,"These activities must be performed without attachment and expectation for rewards. This is My definite and supreme verdict, O Arjun."
chpt18V7,Prescribed duties should never be renounced. Such deluded renunciation is said to be in the mode of ignorance.
chpt18V8,To give up prescribed duties because they are troublesome or cause bodily discomfort is renunciation in the mode of passion. Such renunciation is never beneficial or elevating.
chpt18V9,"When actions are undertaken in response to duty, and one relinquishes attachment to any reward, O Arjun, it is considered renunciation in the nature of goodness."
chpt18V10,Those who neither avoid disagreeable work nor seek work because it is agreeable are persons of true renunciation. They are endowed with the quality of the mode of goodness and have no doubts (about the nature of work).
chpt18V11,"For the embodied being, it is impossible to give up activities entirely. But those who relinquish the fruits of their actions are said to be truly renounced."
chpt18V12,"The three-fold fruits of actions—pleasant, unpleasant, and mixed—accrue even after death to those who are attached to personal reward. But, for those who renounce the fruits of their actions, there are no such results in the here or hereafter."
chpt18V13,"O Arjun, now learn from Me about the five factors that have been mentioned for the accomplishment of all actions in the doctrine of"
chpt18V14,"The body, the doer (soul), the various senses, the many kinds of efforts, and Divine Providence—these are the five factors of action."
chpt18V15,"These five are the contributory factors for whatever action is performed, whether proper or improper, with body, speech, or mind. Those who do not understand this regard the soul as the only doer. With their impure intellects they cannot see things as they are."
chpt18V17,"Those who are free from the ego of being the doer, and whose intellect is unattached, though they may slay living beings, they neither kill nor are they bound by actions."
chpt18V18,"Knowledge, the object of knowledge, and the knower—these are the three factors that induce action. The instrument of action, the act itself, and the doer—these are the three constituents of action."
chpt18V19,"Knowledge, action, and the doer are declared to be of three kinds in the"
chpt18V20,Understand that knowledge to be in the mode of goodness by which a person sees one undivided imperishable reality within all diverse living beings.
chpt18V21,That knowledge is to be considered in the mode of passion by which one sees manifold living entities in diverse bodies as individual and unconnected.
chpt18V22,"That knowledge is said to be in the mode of ignorance where one is engrossed in a fragmental concept as if it encompasses the whole, and which is neither grounded in reason nor based on the truth."
chpt18V23,"Action that is in accordance with the scriptures, free from attachment and aversion, and done without desire for rewards, is in the mode of goodness."
chpt18V24,"Action that is prompted by selfish desire, enacted with pride, and full of stress, is in the nature of passion."
chpt18V25,"That action is declared to be in the mode of ignorance, which is begun out of delusion, without thought to one’s own ability, and disregarding consequences, loss, and injury to others."
chpt18V26,"The performer is said to be in the mode of goodness, when he or she is free from egotism and attachment, endowed with enthusiasm and determination, and equipoised in success and failure."
chpt18V27,"The performer is considered in the mode of passion when he or she craves the fruits of the work, is covetous, violent-natured, impure, and moved by joy and sorrow."
chpt18V28,"A performer in the mode of ignorance is one who is undisciplined, vulgar, stubborn, deceitful, slothful, despondent, and a procrastinator."
chpt18V29,"Hear now, O Arjun, of the distinctions of intellect and determination, according to the three modes of material nature, as I describe them in detail."
chpt18V30,"The intellect is said to be in the nature of goodness, O Parth, when it understands what is proper action and improper action, what is duty and non-duty, what is to be feared and what is not to be feared, what is binding and what is liberating."
chpt18V31,"The intellect is considered in the mode of passion when it is confused between righteousness and unrighteousness, and cannot distinguish between right and wrong conduct, O Parth."
chpt18V32,"That intellect which is shrouded in darkness, imagining irreligion to be religion, and perceiving untruth to be the truth, is of the nature of ignorance, O Parth."
chpt18V33,"The steadfast willpower that is developed through Yog, and which sustains the activities of the mind, the life-airs, and the senses,  O Parth, is said to be determination in the mode of goodness."
chpt18V34,"The steadfast willpower by which one holds on to duty, pleasures, and wealth, out of attachment and desire for rewards, O Arjun, is determination in the mode of passion."
chpt18V35,"That unintelligent resolve is said to be determination in the mode of ignorance, in which one does not give up dreaming, fearing, grieving, despair, and conceit."
chpt18V36,"Now hear from Me, O Arjun, of the three kinds of happiness in which the embodied soul rejoices, and can even reach the end of all suffering."
chpt18V37,"That which seems like poison at first, but tastes like nectar in the end, is said to be happiness in the mode of goodness. It is generated by the pure intellect that is situated in self-knowledge."
chpt18V38,Happiness is said to be in the mode of passion when it is derived from the contact of the senses with their objects. Such happiness is like nectar at first but poison at the end.
chpt18V39,"That happiness which covers the nature of the self from beginning to end, and which is derived from sleep, indolence, and negligence, is said to be in the mode of ignorance."
chpt18V40,No living being on earth or the higher celestial abodes of this material realm is free from the influence of these three modes of nature.
chpt18V41,"The duties of the Brahmins, Kshatriyas, Vaishyas, and Shudras—are distributed according to their qualities, in accordance with their"
chpt18V42,"Tranquility, restraint, austerity, purity, patience, integrity, knowledge, wisdom, and belief in a hereafter—these are the intrinsic qualities of work for Brahmins."
chpt18V43,"Valor, strength, fortitude, skill in weaponry, resolve never to retreat from battle, large-heartedness in charity, and leadership abilities, these are the natural qualities of work for Kshatriyas."
chpt18V44,"Agriculture, dairy farming, and commerce are the natural works for those with the qualities of Vaishyas. Serving through work is the natural duty for those with the qualities of Shudras."
chpt18V45,"By fulfilling their duties, born of their innate qualities, human beings can attain perfection. Now hear from Me how one can become perfect by discharging one’s prescribed duties."
chpt18V46,"By performing one’s natural occupation, one worships the Creator from whom all living entities have come into being, and by whom the whole universe is pervaded. By such performance of work, a person easily attains perfection."
chpt18V47,It is better to do one’s own
chpt18V48,"One should not abandon duties born of one’s nature, even if one sees defects in them, O son of Kunti. Indeed, all endeavors are veiled by some evil, as fire is by smoke."
chpt18V49,"Those whose intellect is unattached everywhere, who have mastered the mind, and are free from desires by the practice of renunciation, attain the highest perfection of freedom from action."
chpt18V50,"Hear from Me briefly, O Arjun, and I shall explain how one, who has attained perfection (of cessation of actions), can also attain Brahman by being firmly fixed in transcendental knowledge."
chpt18V51,"One becomes fit to attain Brahman when he or she possesses a purified intellect and firmly restrains the senses, abandoning sound and other objects of the senses, casting aside attraction and aversion. Such a person relishes solitude, eats lightly, controls body, mind, and speech, is ever engaged in meditation, and practices dispassion. Free from egotism, violence, arrogance, desire, possessiveness of property, and selfishness, such a person, situated in tranquility, is fit for union with Brahman (i.e., realization of the Absolute Truth as Brahman)."
chpt18V54,"One situated in the transcendental Brahman realization becomes mentally serene, neither grieving nor desiring. Being equitably disposed toward all living beings, such a yogi attains supreme devotion unto Me."
chpt18V55,"Only by loving devotion to Me does one come to know who I am in Truth. Then, having come to know Me, My devotee enters into full consciousness of Me."
chpt18V56,"My devotees, though performing all kinds of actions, take full refuge in Me. By my grace, they attain the eternal and imperishable abode."
chpt18V57,"Dedicate your every activity to Me, making Me your supreme goal. Taking shelter of the Yog of the intellect, keep your consciousness absorbed in Me always."
chpt18V58,"If you always remember Me, by My grace you shall overcome all obstacles and difficulties. But if, due to pride, you do not listen to My advice, you will perish."
chpt18V59,"If, motivated by pride, you think, “I shall not fight,” your decision will be in vain. Your own nature will compel you to fight."
chpt18V60,"O Arjun, that action which out of delusion you do not wish to do, you will be driven to do it by your own inclination, born of your own material nature."
chpt18V61,"The Supreme Lord dwells in the hearts of all living beings, O Arjun. According to their karmas, He directs the wanderings of the souls, who are seated on a machine made of material energy."
chpt18V62,"Surrender exclusively unto Him with your whole being, O Bharat. By His grace, you will attain perfect peace and the eternal abode."
chpt18V63,"Thus, I have explained to you this knowledge that is more secret than all secrets. Ponder over it deeply, and then do as you wish."
chpt18V64,"Hear again My supreme instruction, the most confidential of all knowledge. I am revealing this for your benefit because you are very dear to Me."
chpt18V65,"Always think of Me, be devoted to Me, worship Me, and offer obeisance to Me. Doing so, you will certainly come to Me. This is My pledge to you, for you are very dear to Me."
chpt18V66,Abandon all varieties of dharmas and simply surrender unto Me alone. I shall liberate you from all sinful reactions; do not fear.
chpt18V67,"This instruction should never be explained to those who are not austere or to those who are not devoted. It should also not be spoken to those who are averse to listening (to spiritual topics), and especially not to those who are envious of Me."
chpt18V68,"Amongst My devotees, those who teach this most confidential knowledge perform the greatest act of love. They will come to Me, without doubt."
chpt18V69,No human being does more loving service to Me than they; nor shall there ever be anyone on this earth more dear to Me.
chpt18V70,And I proclaim that those who study this sacred dialogue of ours will worship Me (with their intellect) through the sacrifice of knowledge; such is My view.
chpt18V71,Even those who only listen to this knowledge with faith and without envy will be liberated from sins and attain the auspicious abodes where the pious dwell.
chpt18V72,"O Arjun, have you heard Me with a concentrated mind? Have your ignorance and delusion been destroyed?"
chpt18V73,"Arjun said: O Infallible One, by your grace my illusion has been dispelled, and I am situated in knowledge. I am now free from doubts, and I shall act according to Your instructions."
chpt18V74,"Sanjay said: Thus, have I heard this wonderful conversation between Shree Krishna, the Son of Vasudev, and Arjun, the noble-hearted son of Pritha. So thrilling is the message that my hair is standing on end."
chpt18V75,"By the grace of Veda Vyas, I have heard this supreme and most secret Yog from the Lord of Yog, Shree Krishna Himself."
chpt18V76,"As I repeatedly recall this astonishing and wonderful dialogue between the Supreme Lord Shree Krishna and Arjun, O King, I rejoice again and again."
chpt18V77,"And remembering that most astonishing and wonderful cosmic form of Lord Krishna, great is my astonishment, and I am thrilled with joy over and over again."
